display_name,product_material,color,size,price,product_url,image_links,brand_name,description,scrapped_date,low_level,gender,secondhand
Bridgton Linen Dress,Linen is made from flax. It basically uses no water and emits ¼ the carbon as cotton per pound of fiber. This is a lightweight linen fabric - 100% linen. Wash cold + line dry,Corsica,"['0', '2', '4', '6', '8', '10', '12']",USD248.00,https://www.thereformation.com/products/bridgton-linen-dress/1310246CRC.html?dwvar_1310246CRC_color=CRC,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310246/CORSICA/1310246.1.CORSICA.jpg'],Reformation,"For your wearing pleasure. The Bridgton is an off-the-shoulder, midi length dress with short, puffed sleeves. It features a smocked back bodice and side slit to show off a bit of leg. It gives you a little more shape in places you might want that.",2022-06-01,Midi Dresses,women,False
Rome Linen Top Es,Linen is made from flax. It basically uses no water and emits ¼ the carbon as cotton per pound of fiber. This is a lightweight linen fabric - 100% linen. Wash cold + line dry,Corsica,['14'],USD148.00,https://www.thereformation.com/products/rome-linen-top-es/1310689CRC.html?dwvar_1310689CRC_color=CRC,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310689/CORSICA/1310689.1.CORSICA.jpg'],Reformation,"New spring tops are here. The Rome is a slim fitting top with short puff sleeves and a sweetheart neckline. It features a smocked back, hidden button front, and bustier seam detailing which gives the top a more fitted look and feel.",2022-06-01,Short Sleeve Tops,women,False
Reina Dress,"Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. This is a stretch poplin fabric made with 98% Organically Grown Cotton, 2% Spandex. Wash cold + dry flat",White,"['0', '2', '4', '6', '8', '10', '12']",USD298.00,https://www.thereformation.com/products/reina-dress/1310698WHT.html?dwvar_1310698WHT_color=WHT,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310698/WHITE/1310698.1.WHITE.jpg'],Reformation,"Garden time. The Reina is a cap sleeve, midi dress with a fitted waist and A-Line skirt. It features a V neckline with a ruffle detail and has an open back for a more romantic vibe.",2022-06-01,Midi Dresses,women,False
Lindy Knit Top,"Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. Cotton Cinch is a lighter weight stretch fabric with a soft handfeel made with 88% organic cotton, 12% spandex. Hand wash + dry flat",Corvette,"['XS', 'S', 'M', 'L', 'XL']",USD68.00,https://www.thereformation.com/products/lindy-knit-top/1309577CVT.html?dwvar_1309577CVT_color=CVT,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1309577/CORVETTE/1309577.1.CORVETTE.jpg'],Reformation,"Easy little number. The Lindy is a crop, fitted top with cap sleeves. It has light ruching on the sides and a high, mock neckline. It gives you a little shape in the areas where you might want it.",2022-06-01,Sleeveless Tops,women,False
Mason Pant,"TENCEL™ Lyocell comes from Eucalyptus trees, which take only half an acre to produce one ton of fiber. It’s closed loop production means 99% of the non-toxic solvent is reused. This is a lightweight woven suiting fabric - 100% TENCEL™ Lyocell. Hand wash + dry flat",Khaki,"['0', '2', '4', '6', '8', '10', '12']",USD178.00,https://www.thereformation.com/products/mason-pant/1305906KHA.html?dwvar_1305906KHA_color=KHA,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1305906/KHAKI/1305906.1.KHAKI.jpg'],Reformation,Power pants. The Mason is slim fitting in the waist with a relaxed fit in the leg. A good option that gives you some shape without being too snug.,2022-06-01,Clothing,women,False
Bea Skirt Es,"Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon. Dry clean only",Countryside,"['14', '16', '18', '20', '22']",USD148.00,https://www.thereformation.com/products/bea-skirt-es/1304477CSW.html?dwvar_1304477CSW_color=CSW,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1304477/COUNTRYSIDE/1304477.1.COUNTRYSIDE.jpg'],Reformation,Wear the skirt. The Bea is fitted in the waist with a slim fitting skirt. It has a center back zipper so it's pretty easy to get in and out of. ,2022-06-01,Skirts,women,False
Rupert Dress,Dry clean only,Pink Check,"['XS', 'S', 'M', 'L', 'XL']",USD248.00,https://www.thereformation.com/products/rupert-dress/1310732PIK.html?dwvar_1310732PIK_color=PIK,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310732/PINK_CHECK/1310732.1.PINK_CHECK.jpg'],Reformation,"In case of weekends. The Rupert is a midi dress with fitted, fully smocked bodice. It features a square neckline and tiered, A-line skirt. It has short, puffed sleeves for a slightly dramatic look.",2022-06-01,Midi Dresses,women,False
Jolie Bustier Mini Dress,"This is a denim fabric made with 90% Regenerative Cotton, 7% Recycled Polyester and 3% Elastane. Wash cold + line dry",Corvette,"['0', '2', '4', '6', '8', '10', '12']",USD178.00,https://www.thereformation.com/products/jolie-bustier-mini-dress/1310436CVT.html?dwvar_1310436CVT_color=CVT,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310436/CORVETTE/1310436.1.CORVETTE.jpg'],Reformation,"For looking and feeling hot. The Jolie is a slim fitting, mini dress with wide straps and a sweetheart neckline. It features a bustier seam detail, which gives the top a more fitted look and feel.",2022-06-01,Short Dresses,women,False
Margot Skirt,"Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon. Dry clean only",Black,"['0', '2', '4', '6', '8', '10', '12']",USD98.00,https://www.thereformation.com/products/margot-skirt/1304070BLK.html?dwvar_1304070BLK_color=BLK,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1304070/BLACK/1304070.1.BLACK.jpg'],Reformation,Let your legs out a little. The Margot is slim fitting through the waist and hip and features a side slit for easy mobility. It has an invisible center back zipper that makes it an easy throw on and go option.,2022-06-01,Skirts,women,False
Melita Dress,Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight georgette fabric with a dry handfeel - 100% Viscose. Dry clean only,Milo,"['0', '2', '4', '6', '8', '10', '12']",USD348.00,https://www.thereformation.com/products/melita-dress/1309293MLZ.html?dwvar_1309293MLZ_color=MLZ,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1309293/MILO/1309293.1.MILO.jpg'],Reformation,"For that thing you have to go to. The Melita is fitted in the bodice with a relaxed skirt and high side slit. It also has tie strap details, which are basically no different than a shoelace.",2022-06-01,Long Dresses,women,False
Marguerite Silk Dress,This is a lightweight silk charmeuse fabric - 100% silk. Dry clean only,Endive,"['0', '2', '4', '6', '8', '10', '12']",USD298.00,https://www.thereformation.com/products/marguerite-silk-dress/1309022EVD.html?dwvar_1309022EVD_color=EVD,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1309022/ENDIVE/1309022.1.ENDIVE.jpg'],Reformation,"This old thing? The Marguerite has a fitted bodice, tie straps, and smocking on the back. It has a more relaxed, faux wrap skirt for showing a little leg.",2022-06-01,Midi Dresses,women,False
Bridgton Linen Dress,Linen is made from flax. It basically uses no water and emits ¼ the carbon as cotton per pound of fiber. This is a lightweight linen fabric - 100% linen. Wash cold + line dry,White,"['0', '2', '4', '6', '8', '10', '12']",USD248.00,https://www.thereformation.com/products/bridgton-linen-dress/1310246WHT.html?dwvar_1310246WHT_color=WHT,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310246/WHITE/1310246.1.WHITE.jpg'],Reformation,"For your wearing pleasure. The Bridgton is an off-the-shoulder, midi length dress with short, puffed sleeves. It features a smocked back bodice and side slit to show off a bit of leg. It gives you a little more shape in places you might want that.",2022-06-01,Dresses,women,False
Cynthia High Rise Straight Cropped Jeans,Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. This is a medium weight non-stretch denim - 60% Organically Grown Cotton /40% TENCEL™ Lyocell. Wash cold + line dry,Tahoe,"['23', '24', '25', '26', '27', '28', '29', '30', '31']",USD128.00,https://www.thereformation.com/products/cynthia-high-rise-straight-cropped-jeans/1304447TAH.html?dwvar_1304447TAH_color=TAH,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1304447/TAHOE/1304447.1.TAHOE.jpg'],Reformation,"Smart ass jeans. This is a high rise, rigid jean with a cropped straight leg and a finished hem. The Cynthia Crop High Relaxed is fitted throughout the hip and butt with a relaxed fitting leg.<br><br>
If you are looking for a more comfortable fit, we recommend sizing up! Thighs and hip area will give slightly, but waist will not stretch out.",2022-06-01,Jeans,women,False
Meadowlark Top,"This is a lightweight voile fabric made with 50% Organically Grown Cotton, 50% ECOVERO™ Viscose. Dry clean only",Black,"['0', '2', '4', '6', '8', '10', '12']",USD148.00,https://www.thereformation.com/products/meadowlark-top/1307518BLK.html?dwvar_1307518BLK_color=BLK,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1307518/BLACK/1307518.1.BLACK.jpg'],Reformation,Have you romanced yourself lately? The Meadowlark is slim fitting throughout and has elastic tiers at the sleeve for a more romantic look. It has a deep v neckline with functional center front buttons so you can show off your decolletage.,2022-06-01,Tops,women,False
Muse Tee Es,"Basic Rib is an eco friendly stretch rib fabric made with 97% Organic Cotton, 3% Spandex. Hand wash + dry flat",Mixed Emotions,"['1X', '2X', '3X']",USD48.00,https://www.thereformation.com/products/muse-tee-es/1310870XED.html?dwvar_1310870XED_color=XED,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310870/MIXED_EMOTIONS/1310870.1.MIXED_EMOTIONS.jpg'],Reformation,"Throw on and go. The Muse is a tight-fitting tee that is cropped at the waist. It has soft, stretchy ribbed fabric throughout which just means it's super comfortable.",2022-06-01,Short Sleeve Tops,women,False
Mason Pant Es,"TENCEL™ Lyocell comes from Eucalyptus trees, which take only half an acre to produce one ton of fiber. It’s closed loop production means 99% of the non-toxic solvent is reused. This is a lightweight woven suiting fabric - 100% TENCEL™ Lyocell. Hand wash + dry flat",Oyster,"['14', '16', '18', '20', '22', '24']",USD178.00,https://www.thereformation.com/products/mason-pant-es/1309124OYS.html?dwvar_1309124OYS_color=OYS,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1309124/OYSTER/1309124.1.OYSTER.jpg'],Reformation,Power pants. The Mason is slim fitting in the waist with a relaxed fit in the leg. A good option that gives you some shape without being too snug.,2022-06-01,Pants & Shorts,women,False
Tova Dress,Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight georgette fabric with a dry handfeel - 100% Viscose. Dry clean only,Buena,"['0', '8', '10', '12']",USD248.00,https://www.thereformation.com/products/tova-dress/1310733BUA.html?dwvar_1310733BUA_color=BUA,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310733/BUENA/1310733.1.BUENA.jpg'],Reformation,"Center of attention. The Tova is a relaxed fitting, midi dress with a fitted bodice and A-line skirt. It features a ruched detailing on the bust and a V neckline. It has an adjustable halter and open back tie details.",2022-06-01,Dresses,women,False
Carolena Dress,Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight georgette fabric with a dry handfeel - 100% Viscose. Dry clean only,Pompadour,"['0', '2', '4', '6', '8', '12']",USD248.00,https://www.thereformation.com/products/carolena-dress/1307960PPM.html?dwvar_1307960PPM_color=PPM,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1307960/POMPADOUR/1307960.1.POMPADOUR.jpg'],Reformation,Fresh flowers from the Ref garden. The Carolena gives you a pretty good balance of comfort and shape. It has a fitted bodice with puff sleeves that have smocking at the sleeve opening. The skirt is relaxed with a high slit to let your legs breathe.,2022-06-01,Dresses,women,False
Jeune Dress,"Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. This is a stretch poplin fabric made with 98% Organically Grown Cotton, 2% Spandex. Wash cold + dry flat",Black,"['0', '2', '4', '6', '8', '10', '12']",USD218.00,https://www.thereformation.com/products/jeune-dress/1310804BLK.html?dwvar_1310804BLK_color=BLK,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310804/BLACK/1310804.1.BLACK.jpg'],Reformation,"Short and sweet. The Jeune is a mini dress with a fitted bodice and back smocking. It has a square neckline, an empire waist and bubble cap sleeves. It gives you a little bit of comfort and shape all in one.",2022-06-01,Short Dresses,women,False
Laylin Dress,"Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon. Dry clean only",Luv It,"['0', '2', '4', '6', '8', '10', '12']",USD218.00,https://www.thereformation.com/products/laylin-dress/1308939LUV.html?dwvar_1308939LUV_color=LUV,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1308939/LUV_IT/1308939.1.LUV_IT.jpg'],Reformation,Pretty mini. The Laylin is fitted in the bodice with a more relaxed skirt. It has puff sleeves and buttons down the front for a more vintage look.,2022-06-01,Short Dresses,women,False
Dovie Dress,"Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. This is a stretch poplin fabric made with 98% Organically Grown Cotton, 2% Spandex. Wash cold + dry flat",Zest,"['XS', 'S', 'M', 'L', 'XL']",USD248.00,https://www.thereformation.com/products/dovie-dress/1310747ZSE.html?dwvar_1310747ZSE_color=ZSE,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310747/ZEST/1310747.1.ZEST.jpg'],Reformation,"Garden time. The Dovie is a maxi dress with a sweetheart neckline and adjustable, spaghetti straps. It features an open back and ruching at the bust. Its is fitted in the bodice with a relaxed fitting skirt, so you get structure and comfort all in one.",2022-06-01,Dresses,women,False
Jeune Dress,"Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. This is a stretch poplin fabric made with 98% Organically Grown Cotton, 2% Spandex. Wash cold + dry flat",Layla,"['0', '2', '4', '6', '8', '10', '12']",USD218.00,https://www.thereformation.com/products/jeune-dress/1310804LYA.html?dwvar_1310804LYA_color=LYA,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310804/LAYLA/1310804.1.LAYLA.jpg'],Reformation,"Short and sweet. The Jeune is a mini dress with a fitted bodice and back smocking. It has a square neckline, an empire waist and bubble cap sleeves. It gives you a little bit of comfort and shape all in one.",2022-06-01,Dresses,women,False
